name,city,income,credit_score,loan_amount,years_employed,points,loan_approved,gender,debt_to_income,income_per_exp,credit_category,loan_to_points,income_bracket,gender_encoded
Jacqueline Williams,Perezfort,145247,690,23971,37,80.0,True,Female,0.1650361109007415,3822.2894736842104,Good,295.9382716049383,130K+,0
Susan Hood,South Dennisfort,62018,538,6493,18,45.0,False,Female,0.10469541100970686,3264.1052631578946,Poor,141.15217391304347,40K-70K,0
Kimberly Scott,Lake Juliatown,78434,835,8722,33,90.0,True,Female,0.1112017747405462,2306.8823529411766,Excellent,95.84615384615384,70K-100K,0
Matthew Watts,Robertville,67353,458,28923,37,35.0,False,Male,0.42942407910560776,1772.4473684210527,Poor,803.4166666666666,40K-70K,1
Scott Henderson,Cherylfurt,50676,508,28081,35,35.0,False,Male,0.5541281869129371,1407.6666666666667,Poor,780.0277777777778,40K-70K,1
Karen Wood,Kingport,87433,652,47235,25,55.0,False,Female,0.5402422426315007,3362.8076923076924,Fair,843.4821428571429,70K-100K,0
Sarah Hopkins,South Krista,139280,465,7571,13,60.0,True,Female,0.054358127512923606,9948.57142857143,Poor,124.11475409836065,130K+,0
Rachel Owen,East Paultown,101200,393,10524,30,55.0,False,Female,0.10399209486166008,3264.516129032258,Poor,187.92857142857142,100K-130K,0
Bobby Johnson,Ariasfurt,122214,833,19774,38,95.0,True,Male,0.16179815733058406,3133.6923076923076,Excellent,205.97916666666666,100K-130K,1
Raymond Thompson,Gonzalesborough,69651,830,19743,12,80.0,True,Male,0.28345608821122453,5357.7692307692305,Excellent,243.74074074074073,40K-70K,1
Kyle Black,New Gavin,110173,336,24575,15,55.0,False,Female,0.22305828106704909,6885.8125,Poor,438.8392857142857,100K-130K,0
Vanessa Miller,Kimberlystad,135788,704,27571,37,80.0,True,Female,0.20304445164521165,3573.3684210526317,Good,340.38271604938274,130K+,0
Adrian Padilla,New Justinside,115717,656,23772,17,70.0,True,Male,0.2054322182566088,6428.722222222223,Fair,334.8169014084507,100K-130K,1
Victor Gibson,Andrewsview,99329,479,27681,32,45.0,False,Male,0.2786799424135952,3009.969696969697,Poor,601.7608695652174,70K-100K,1
Benjamin Phillips,Port Williamview,31025,850,38676,16,65.0,True,Male,1.246607574536664,1825.0,Excellent,586.0,<40K,1
Tracy Hart,Port Matthew,117538,769,45668,29,85.0,True,Female,0.3885381748881213,3917.9333333333334,Excellent,531.0232558139535,100K-130K,0
Shannon Olson,Carlosbury,137099,535,21691,26,55.0,False,Female,0.15821413722930144,5077.740740740741,Poor,387.3392857142857,130K+,0
Kelli Smith,Johnland,102692,708,45151,21,70.0,True,Female,0.43967397655124063,4667.818181818182,Good,635.9295774647887,100K-130K,0
Timothy Woods,Jefferyshire,69240,575,12978,12,45.0,False,Male,0.18743500866551127,5326.153846153846,Poor,282.1304347826087,40K-70K,1
Mr. Nicolas Salas II,Port John,116951,664,11223,6,70.0,True,Male,0.0959632666672367,16707.285714285714,Fair,158.07042253521126,100K-130K,1
Blake Sosa,Austinside,43577,343,32607,23,25.0,False,Male,0.7482616976845584,1815.7083333333333,Poor,1254.1153846153845,40K-70K,1
Katherine Galloway,Travishaven,145097,586,27075,14,70.0,True,Female,0.18659930942748645,9673.133333333333,Fair,381.3380281690141,130K+,0
Bethany Fox,Mendozaside,47601,333,33930,22,25.0,False,Female,0.7128001512573265,2069.608695652174,Poor,1305.0,40K-70K,0
Michael Thompson,Lake Aprilmouth,64664,308,1774,13,50.0,False,Male,0.02743412099468019,4618.857142857143,Poor,34.78431372549019,40K-70K,1
Brian Ward,Jacobview,45129,542,18655,30,25.0,False,Male,0.41337055995036454,1455.774193548387,Poor,717.5,40K-70K,1
Grace White,Clarkstad,146616,673,27253,17,80.0,True,Female,0.18588012222404104,8145.333333333333,Good,336.4567901234568,130K+,0
Kenneth Krause,Port Cory,44029,576,16453,35,30.0,False,Male,0.3736855254491358,1223.0277777777778,Poor,530.741935483871,40K-70K,1
James Thomas,South Linda,127310,480,28624,31,55.0,False,Male,0.22483701201790904,3978.4375,Poor,511.14285714285717,100K-130K,1
Steven Mccoy,Kristenport,102512,556,37840,36,50.0,False,Male,0.3691275167785235,2770.5945945945946,Poor,741.9607843137255,100K-130K,1
Brett Martin,Port Jonathan,50374,398,30481,21,35.0,False,Male,0.6050938976456108,2289.7272727272725,Poor,846.6944444444445,40K-70K,1
Isaac Grant,Mauricechester,65697,424,24009,38,40.0,False,Male,0.3654504771907393,1684.5384615384614,Poor,585.5853658536586,40K-70K,1
Kenneth Banks,Port Justin,66930,632,45118,32,50.0,False,Male,0.6741072762587779,2028.1818181818182,Fair,884.6666666666666,40K-70K,1
Dr. Steve James,Stevenberg,109276,471,42981,21,50.0,False,Male,0.39332515831472603,4967.090909090909,Poor,842.7647058823529,100K-130K,1
Logan Sullivan,North Fernandobury,57607,621,21766,18,55.0,False,Male,0.37783602687173434,3031.9473684210525,Fair,388.67857142857144,40K-70K,1
Lisa Foster,Normanstad,124058,833,30510,26,95.0,True,Female,0.2459333537538893,4594.740740740741,Excellent,317.8125,100K-130K,0
Scott Martinez,Lake Johnathan,74942,381,14800,10,45.0,False,Male,0.19748605588321635,6812.909090909091,Poor,321.7391304347826,70K-100K,1
Brendan Zuniga,Kelleytown,56685,706,35339,5,55.0,False,Male,0.6234277145629356,9447.5,Good,631.0535714285714,40K-70K,1
Luke Miller,Parkerbury,120111,590,30042,40,65.0,True,Male,0.2501186402577616,2929.5365853658536,Fair,455.1818181818182,100K-130K,1
Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,85.0,True,Male,0.2794749403341289,3232.285714285714,Excellent,367.63953488372096,100K-130K,1
Kimberly Taylor,New Carla,141792,745,35305,40,90.0,True,Female,0.2489914804784473,3458.3414634146343,Excellent,387.967032967033,130K+,0
Emily Reed,Port Christopher,64600,615,24971,26,55.0,False,Female,0.3865479876160991,2392.5925925925926,Fair,445.9107142857143,40K-70K,0
Eric Smith,West Justin,96244,847,1545,31,95.0,True,Male,0.01605294875524708,3007.625,Excellent,16.09375,70K-100K,1
Karen Smith,Yatesbury,94032,307,36927,23,45.0,False,Female,0.3927067381316999,3918.0,Poor,802.7608695652174,70K-100K,0
Stephen Kim,East Jennifer,62914,699,25796,14,60.0,True,Male,0.4100200273389071,4194.266666666666,Good,422.88524590163934,40K-70K,1
Jay Allen,Justinside,148664,575,28060,12,55.0,False,Male,0.18874778022924177,11435.692307692309,Poor,501.07142857142856,130K+,1
Catherine Roberts,Williamsonview,149034,803,13306,20,100.0,True,Female,0.08928164043104259,7096.857142857143,Excellent,131.74257425742573,130K+,0
Anthony Nichols,North Julian,140900,428,47871,28,50.0,False,Male,0.3397515968772179,4858.620689655172,Poor,938.6470588235294,130K+,1
Crystal Hernandez,Robinsonchester,36658,619,33662,23,40.0,False,Female,0.918271591467074,1527.4166666666667,Fair,821.0243902439024,<40K,0
Rick Rivera,North Joseph,42097,701,5678,34,60.0,True,Male,0.13487896999786209,1202.7714285714285,Good,93.08196721311475,40K-70K,1
Corey Skinner,Claytonville,113136,554,26218,28,55.0,False,Male,0.23173879225003535,3901.2413793103447,Poor,468.17857142857144,100K-130K,1
Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,80.0,True,Male,0.3098879768002058,4275.9,Excellent,327.17283950617286,70K-100K,1
Caitlin Chandler,West Timothyport,138704,503,24620,3,45.0,False,Female,0.17750028838389664,34676.0,Poor,535.2173913043479,130K+,0
Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,45.0,False,Female,0.593344903040821,8283.125,Fair,854.7391304347826,40K-70K,0
David Novak,Barkerberg,35778,680,6864,15,60.0,True,Male,0.19184974006372632,2236.125,Good,112.52459016393442,<40K,1
Brandon Montgomery,North Michaelberg,30464,849,8038,8,65.0,True,Male,0.26385241596638653,3384.8888888888887,Excellent,121.78787878787878,<40K,1
Eugene Grant DDS,Lindamouth,73719,497,2399,24,50.0,False,Male,0.032542492437499154,2948.76,Poor,47.03921568627451,70K-100K,1
Chad Roach,Mannside,131072,601,36568,31,65.0,True,Male,0.27899169921875,4096.0,Fair,554.060606060606,130K+,1
Cody Bailey,Hillside,47146,464,5513,33,35.0,False,Male,0.11693462860051754,1386.6470588235295,Poor,153.13888888888889,40K-70K,1
Edward Baker,Shawnhaven,113507,688,49080,11,70.0,True,Male,0.4323962398794788,9458.916666666666,Good,691.2676056338029,100K-130K,1
Lisa Diaz,West Jennifer,64335,696,13443,33,70.0,True,Female,0.20895313592912101,1892.2058823529412,Good,189.33802816901408,40K-70K,0
Pamela Moore,Marcusmouth,51178,413,7308,33,45.0,False,Female,0.14279573254132635,1505.235294117647,Poor,158.8695652173913,40K-70K,0
Amanda Pace,Port Anthony,127154,409,32809,12,50.0,False,Female,0.25802570111832895,9781.076923076924,Poor,643.3137254901961,100K-130K,0
Kenneth Huff,Foxshire,87912,562,4216,23,55.0,False,Male,0.04795704795704796,3663.0,Poor,75.28571428571429,70K-100K,1
Mitchell Smith,Lake Travis,102309,381,31674,40,50.0,False,Male,0.30959153153681496,2495.3414634146343,Poor,621.0588235294117,100K-130K,1
Justin Hurley,Shortton,122493,572,35669,2,40.0,False,Male,0.29119214975549623,40831.0,Poor,869.9756097560976,100K-130K,1
Sandra Miller,New Colton,86057,536,35842,24,40.0,False,Female,0.4164913952380399,3442.28,Poor,874.1951219512196,70K-100K,0
Joseph Wright,New Kara,103519,725,49896,6,65.0,True,Male,0.48199847371014015,14788.42857142857,Good,756.0,100K-130K,1
Laura Craig,Andradeburgh,31267,484,37042,25,25.0,False,Female,1.1846995234592381,1202.576923076923,Poor,1424.6923076923076,<40K,0
Mary Ferguson,Mahoneymouth,44663,632,25361,26,40.0,False,Female,0.5678301950160087,1654.1851851851852,Fair,618.560975609756,40K-70K,0
Jessica Swanson,New Amy,39862,684,37060,16,50.0,False,Female,0.9297074908434098,2344.823529411765,Good,726.6666666666666,<40K,0
Jesse Moyer,Lake Austinport,145750,316,34922,8,50.0,False,Male,0.23960205831903944,16194.444444444445,Poor,684.7450980392157,130K+,1
Elizabeth Evans MD,Andrewview,120573,823,37459,36,90.0,True,Female,0.3106748608726663,3258.7297297297296,Excellent,411.6373626373626,100K-130K,0
Brittney Johnson,Ericview,148479,675,39152,15,75.0,True,Female,0.26368712073761275,9279.9375,Good,515.1578947368421,130K+,0
Robert Davis,Carrollborough,49536,379,48420,20,25.0,False,Male,0.9774709302325582,2358.8571428571427,Poor,1862.3076923076924,40K-70K,1
Carrie Petersen,New Dawnton,101511,690,6143,3,75.0,True,Female,0.06051560914580686,25377.75,Good,80.82894736842105,100K-130K,0
Felicia Hobbs,Butlerville,34722,532,49999,38,25.0,False,Female,1.4399804158746616,890.3076923076923,Poor,1923.0384615384614,<40K,0
Madison Chen,West Alicemouth,139392,453,22419,32,55.0,False,Female,0.16083419421487602,4224.0,Poor,400.3392857142857,130K+,0
Brittany Nunez,Maddoxshire,78393,816,6903,14,95.0,True,Female,0.08805633156021583,5226.2,Excellent,71.90625,70K-100K,0
Richard Hernandez,Christophershire,106350,350,36923,25,50.0,False,Male,0.3471838269863658,4090.3846153846152,Poor,723.9803921568628,100K-130K,1
James Hamilton,Port Dennis,102420,502,32972,25,50.0,False,Male,0.32192931068150754,3939.230769230769,Poor,646.5098039215686,100K-130K,1
Christina Gilbert,East Charles,49410,740,22195,36,60.0,True,Female,0.4492005666869055,1335.4054054054054,Excellent,363.8524590163934,40K-70K,0
Michael Henderson,Jamesstad,86333,324,20976,10,50.0,False,Male,0.242966189058645,7848.454545454545,Poor,411.29411764705884,70K-100K,1
Lisa Branch MD,South Brady,46704,539,14086,23,30.0,False,Female,0.3016015758821514,1946.0,Poor,454.38709677419354,40K-70K,0
Nicholas Miller,East Stacyberg,35482,594,1900,21,55.0,False,Male,0.053548278000112734,1612.8181818181818,Fair,33.92857142857143,<40K,1
Ashley Cole,West Jasonside,70404,516,14356,34,45.0,False,Female,0.20390886881427192,2011.5428571428572,Poor,312.0869565217391,70K-100K,0
Deanna Webb,Lake Holly,77795,318,25681,37,45.0,False,Female,0.3301111896651456,2047.2368421052631,Poor,558.2826086956521,70K-100K,0
Kelsey Scott,West Jamesview,147831,354,31471,0,40.0,False,Female,0.2128849835284886,147831.0,Poor,767.5853658536586,130K+,0
Matthew Alvarado,Michelletown,134349,599,43559,24,65.0,True,Male,0.32422273332886736,5373.96,Fair,659.9848484848485,130K+,1
James Bray,West Toddside,142814,390,13217,12,60.0,True,Male,0.09254694917865196,10985.692307692309,Poor,216.672131147541,130K+,1
Judith House,North Johnhaven,35229,612,22860,31,40.0,False,Female,0.6488972153623436,1100.90625,Fair,557.560975609756,<40K,0
Christopher Reed,Michaelport,147823,541,33850,17,55.0,False,Male,0.2289900759692335,8212.388888888889,Poor,604.4642857142857,130K+,1
Lori Johns,New Stacybury,76898,455,23399,25,45.0,False,Female,0.3042861973003199,2957.6153846153848,Poor,508.67391304347825,70K-100K,0
Anita Reyes,South John,57535,456,28948,19,35.0,False,Female,0.5031372208221083,2876.75,Poor,804.1111111111111,40K-70K,0
Erin Daniels,Lake Dillon,119399,507,10051,19,60.0,True,Female,0.08417993450531411,5969.95,Poor,164.7704918032787,100K-130K,0
Stephanie Browning,Forbesberg,62706,461,21807,4,30.0,False,Female,0.3477657640417185,12541.2,Poor,703.4516129032259,40K-70K,0
Tiffany Wilson,Maryberg,117416,330,21885,26,55.0,False,Female,0.18638856714587448,4348.740740740741,Poor,390.80357142857144,100K-130K,0
Elizabeth Reese,Edwinborough,43473,409,9620,11,35.0,False,Female,0.2212867756998597,3622.75,Poor,267.22222222222223,40K-70K,0
William Jensen,New Jesse,76357,326,24544,5,40.0,False,Male,0.32143745825530073,12726.166666666666,Poor,598.6341463414634,70K-100K,1
Karen Shaw,Josephstad,132251,488,26392,31,55.0,False,Female,0.199559927713212,4132.84375,Poor,471.2857142857143,130K+,0
Christopher Perez,Durantown,103385,576,28069,14,50.0,False,Male,0.27149973400396576,6892.333333333333,Poor,550.3725490196078,100K-130K,1
Virginia Todd,East Saramouth,145885,801,46079,20,90.0,True,Female,0.31585838160194674,6946.9047619047615,Excellent,506.3626373626374,130K+,0
Stacy Patterson,New Jillfurt,144650,620,26831,39,70.0,True,Female,0.18548911164880746,3616.25,Fair,377.90140845070425,130K+,0
Laura Herrera,New Danielmouth,83264,343,17103,33,50.0,False,Female,0.20540689853958494,2448.9411764705883,Poor,335.3529411764706,70K-100K,0
Victoria Williams,Blackton,111351,494,20082,28,55.0,False,Female,0.18034862731362988,3839.689655172414,Poor,358.60714285714283,100K-130K,0
Eric Carey,Jacksonport,128235,355,46216,33,50.0,False,Male,0.36040082660740047,3771.6176470588234,Poor,906.1960784313726,100K-130K,1
Julie Lucas,Lake Vincentburgh,50257,438,26760,26,35.0,False,Female,0.5324631394631594,1861.3703703703704,Poor,743.3333333333334,40K-70K,0
Alexander Chavez,South Christopher,61029,631,46332,10,50.0,False,Male,0.7591800619377673,5548.090909090909,Fair,908.4705882352941,40K-70K,1
Becky Wilson,Waltersland,143325,836,47352,24,90.0,True,Female,0.3303819989534275,5733.0,Excellent,520.3516483516484,130K+,0
Vanessa Salazar,South Andrea,51299,344,12199,21,45.0,False,Female,0.2378019064699117,2331.7727272727275,Poor,265.19565217391306,40K-70K,0
Mary Hernandez,East Kayla,134842,352,28497,19,55.0,False,Female,0.2113362305513119,6742.1,Poor,508.875,130K+,0
Randy Griffin,North Rachel,136269,507,1231,39,60.0,True,Male,0.009033602653574915,3406.725,Poor,20.18032786885246,130K+,1
Alexandria Jimenez,Stephenstown,53206,805,16589,13,80.0,True,Female,0.3117881441942638,3800.4285714285716,Excellent,204.80246913580248,40K-70K,0
Karen Ortiz,New Carolbury,145528,584,41616,40,65.0,True,Female,0.2859655873783739,3549.4634146341464,Fair,630.5454545454545,130K+,0
Samantha Williams,North Denise,84040,337,10527,2,40.0,False,Female,0.12526178010471203,28013.333333333332,Poor,256.7560975609756,70K-100K,0
Sara Evans,North Danielburgh,33248,465,45046,18,25.0,False,Female,1.3548484119345525,1749.8947368421052,Poor,1732.5384615384614,<40K,0
Melissa Larson,South Kara,53509,668,3348,5,60.0,True,Female,0.06256891364069596,8918.166666666666,Fair,54.885245901639344,40K-70K,0
Erica Merritt,Port Ronaldside,126542,366,20191,30,55.0,False,Female,0.15955967188759462,4082.0,Poor,360.55357142857144,100K-130K,0
Michael Hill,Warrenborough,73540,359,8163,36,45.0,False,Male,0.11100081588251291,1987.5675675675675,Poor,177.45652173913044,70K-100K,1
Lori Benitez,Ramseyport,132548,737,40901,20,75.0,True,Female,0.30857500678999306,6311.809523809524,Good,538.171052631579,130K+,0
Kenneth Hanson,New Anna,83964,832,48787,40,80.0,True,Male,0.5810466390357772,2047.9024390243903,Excellent,602.3086419753087,70K-100K,1
Dr. Stephen Hall IV,North David,135150,776,41990,7,80.0,True,Male,0.31069182389937106,16893.75,Excellent,518.395061728395,130K+,1
Christine Gilbert,Gutierrezmouth,117806,658,37727,40,65.0,True,Female,0.3202468465103645,2873.317073170732,Fair,571.6212121212121,100K-130K,0
Martin Vaughn,Kristyport,143254,607,34206,35,70.0,True,Male,0.2387786728468315,3979.277777777778,Fair,481.77464788732397,130K+,1
Aaron Jennings,Randyshire,126345,329,12510,12,60.0,True,Male,0.0990146028730856,9718.846153846154,Poor,205.08196721311475,100K-130K,1
George Chambers,Roblesberg,136266,793,11183,40,95.0,True,Male,0.08206742694435883,3323.560975609756,Excellent,116.48958333333333,130K+,1
Sean Huang,Bowerschester,62527,357,35149,19,35.0,False,Male,0.5621411550210309,3126.35,Poor,976.3611111111111,40K-70K,1
Megan Peters,East Barbaramouth,64970,662,5339,9,60.0,True,Female,0.08217638910266277,6497.0,Fair,87.52459016393442,40K-70K,0
Andre Terrell,New Catherine,50866,491,40006,7,30.0,False,Male,0.7864978571147722,6358.25,Poor,1290.516129032258,40K-70K,1
Nicole Thornton,Jenniferview,133202,723,6688,31,85.0,True,Female,0.050209456314469755,4162.5625,Good,77.76744186046511,130K+,0
Jacqueline Gallegos,Javierport,121917,479,8355,23,60.0,True,Female,0.06853022958242083,5079.875,Poor,136.9672131147541,100K-130K,0
Paula Gentry,Hunterfort,44168,812,11097,12,70.0,True,Female,0.2512452454265532,3397.5384615384614,Excellent,156.29577464788733,40K-70K,0
John Russo,Kimberlyberg,80140,400,34826,8,35.0,False,Male,0.4345645121038183,8904.444444444445,Poor,967.3888888888889,70K-100K,1
Andrew Hughes,North Larryton,144316,389,22842,29,55.0,False,Male,0.15827766844979074,4810.533333333334,Poor,407.89285714285717,130K+,1
Ashley Miranda,Andrewport,35075,514,22029,12,25.0,False,Female,0.6280541696364932,2698.076923076923,Poor,847.2692307692307,<40K,0
Donald Flores,Lambertview,142537,452,11321,17,60.0,True,Male,0.07942499140574026,7918.722222222223,Poor,185.59016393442624,130K+,1
Tyler Castro,East Amyside,91694,626,18763,9,60.0,True,Male,0.20462625689794317,9169.4,Fair,307.59016393442624,70K-100K,1
Regina Andrews,North Larry,59154,646,36427,28,50.0,False,Female,0.6157994387530852,2039.7931034482758,Fair,714.2549019607843,40K-70K,0
Allen Berger,North Patrickland,56158,736,26684,11,60.0,True,Male,0.475159371772499,4679.833333333333,Good,437.44262295081967,40K-70K,1
Stephanie Soto,Jensenport,137031,640,13985,34,70.0,True,Female,0.10205719873605243,3915.1714285714284,Fair,196.9718309859155,130K+,0
Thomas Duran,North Lisa,90332,779,7374,29,90.0,True,Male,0.08163220121330204,3011.0666666666666,Excellent,81.03296703296704,70K-100K,1
Matthew Miranda,Hallbury,75830,447,41431,16,40.0,False,Male,0.5463668732691547,4460.588235294118,Poor,1010.5121951219512,70K-100K,1
Jenna Lyons,Kristinamouth,70001,764,32949,1,55.0,False,Female,0.4706932758103456,35000.5,Excellent,588.375,70K-100K,0
Brian Mendoza,West Katrina,137549,430,34288,6,50.0,False,Male,0.2492784389562992,19649.85714285714,Poor,672.3137254901961,130K+,1
Miguel Rodriguez,Port Kevinmouth,134247,710,39701,26,75.0,True,Male,0.2957310032998875,4972.111111111111,Good,522.3815789473684,130K+,1
David Moore,Reyesmouth,144206,513,46485,37,50.0,False,Male,0.32235135847329516,3794.8947368421054,Poor,911.4705882352941,130K+,1
William Bradley,Amybury,59831,477,44424,4,25.0,False,Male,0.7424913506376293,11966.2,Poor,1708.6153846153845,40K-70K,1
Michelle Copeland,New Caitlinmouth,59219,399,30177,11,35.0,False,Female,0.5095830730002195,4934.916666666667,Poor,838.25,40K-70K,0
Jared George,Murphyton,33101,392,15261,8,20.0,False,Male,0.4610434730068578,3677.8888888888887,Poor,726.7142857142857,<40K,1
Stephanie Fields,Port Dwayneberg,116511,763,35816,18,85.0,True,Female,0.3074044510818721,6132.1578947368425,Excellent,416.4651162790698,100K-130K,0
Kenneth Gonzalez,Kevinport,55313,745,48041,22,70.0,True,Male,0.8685300019886826,2404.913043478261,Excellent,676.6338028169014,40K-70K,1
Lauren Carr DDS,Port Kelly,82227,678,36971,3,55.0,False,Female,0.4496211706617048,20556.75,Good,660.1964285714286,70K-100K,0
Justin Irwin,Port Juliantown,73025,540,29292,37,35.0,False,Male,0.40112290311537147,1921.7105263157894,Poor,813.6666666666666,70K-100K,1
Evan Reyes,Grahamborough,66517,477,32121,8,30.0,False,Male,0.4828991084985793,7390.777777777777,Poor,1036.1612903225807,40K-70K,1
James Middleton,Mooreberg,143292,437,1760,4,50.0,False,Male,0.012282611729894201,28658.4,Poor,34.509803921568626,130K+,1
Brianna Dyer,Proctorberg,39099,386,9992,26,30.0,False,Female,0.2555564080922786,1448.111111111111,Poor,322.3225806451613,<40K,0
Stephanie Dominguez,Hansonmouth,131361,821,28795,35,95.0,True,Female,0.21920509131325128,3648.9166666666665,Excellent,299.9479166666667,130K+,0
Janice Perez,Jacobsshire,66585,810,48901,15,75.0,True,Female,0.7344146579559961,4161.5625,Excellent,643.4342105263158,40K-70K,0
Debra House,Arthurton,76025,794,47195,23,75.0,True,Female,0.620782637290365,3167.7083333333335,Excellent,620.9868421052631,70K-100K,0
John Vaughn,Lake Jessica,114080,586,31470,33,65.0,True,Male,0.27585904628331,3355.294117647059,Fair,476.8181818181818,100K-130K,1
Steve Davis,Mccoyland,96768,619,41176,3,45.0,False,Male,0.42551256613756616,24192.0,Fair,895.1304347826087,70K-100K,1
Kimberly Smith,Huntfort,82386,639,28591,22,60.0,True,Female,0.3470371179569344,3582.0,Fair,468.7049180327869,70K-100K,0
Thomas Curry,Bryanfort,119065,473,38542,3,40.0,False,Male,0.3237055389913073,29766.25,Poor,940.0487804878048,100K-130K,1
Dorothy Mclaughlin,West Toddberg,140580,817,6037,17,100.0,True,Female,0.04294351970408308,7810.0,Excellent,59.772277227722775,130K+,0
Luis Hill,Alexisville,100282,478,39782,9,45.0,False,Male,0.3967013023274366,10028.2,Poor,864.8260869565217,100K-130K,1
Jacqueline Thompson,South Henry,73404,840,3168,21,90.0,True,Female,0.04315841098577734,3336.5454545454545,Excellent,34.81318681318681,70K-100K,0
Dr. Linda Underwood,Mullinschester,33617,692,16594,28,50.0,False,Female,0.4936192997590505,1159.2068965517242,Good,325.37254901960785,<40K,0
Carol Lane,Brianview,45118,418,4442,10,40.0,False,Female,0.09845294560929119,4101.636363636364,Poor,108.34146341463415,40K-70K,0
John Alvarez,South Frances,144955,699,32102,16,80.0,True,Male,0.2214618329826498,8526.764705882353,Good,396.320987654321,130K+,1
Seth Smith,Reyesmouth,64237,842,45752,2,65.0,True,Male,0.7122374955243863,21412.333333333332,Excellent,693.2121212121212,40K-70K,1
Joseph Gomez,Bishopview,53405,643,18716,17,55.0,False,Male,0.350454077333583,2966.9444444444443,Fair,334.2142857142857,40K-70K,1
Dawn Silva,Mejiabury,106099,499,35075,21,50.0,False,Female,0.330587470192933,4822.681818181818,Poor,687.7450980392157,100K-130K,0
Wendy Edwards,Lake Alanland,64795,312,27951,6,30.0,False,Female,0.43137587776834635,9256.42857142857,Poor,901.6451612903226,40K-70K,0
Melissa Bell,Johnathanton,35014,324,41592,5,20.0,False,Female,1.1878677100588335,5835.666666666667,Poor,1980.5714285714287,<40K,0
Kristopher Shannon,New Danielle,44208,422,6661,38,35.0,False,Male,0.15067408613825553,1133.5384615384614,Poor,185.02777777777777,40K-70K,1
Matthew Yoder,North Heather,108193,559,20304,29,55.0,False,Male,0.18766463634431063,3606.4333333333334,Poor,362.57142857142856,100K-130K,1
Angela Chavez,Kaylamouth,86959,563,11614,4,40.0,False,Female,0.13355719361998183,17391.8,Poor,283.2682926829268,70K-100K,0
Antonio Price,West Stephanieview,75309,482,29873,4,35.0,False,Male,0.39667237647558723,15061.8,Poor,829.8055555555555,70K-100K,1
Timothy Bishop Jr.,Rodriguezside,125491,741,15312,39,90.0,True,Male,0.12201671833039819,3137.275,Excellent,168.26373626373626,100K-130K,1
Susan Baldwin,North Charlesshire,133078,556,30221,1,40.0,False,Female,0.22709238191136025,66539.0,Poor,737.0975609756098,130K+,0
Brittany Bowman,Lake Peterberg,71114,637,26646,36,55.0,False,Female,0.37469415305003234,1922.0,Fair,475.82142857142856,70K-100K,0
Michael Wise,Grahamland,87199,531,1216,24,55.0,False,Male,0.013945114049473045,3487.96,Poor,21.714285714285715,70K-100K,1
Sabrina Olson,Mathewport,109457,710,4617,40,85.0,True,Female,0.04218094776944371,2669.682926829268,Good,53.68604651162791,100K-130K,0
Maria Diaz DVM,Christophermouth,97033,596,43453,12,55.0,False,Female,0.44781672214607404,7464.076923076923,Fair,775.9464285714286,70K-100K,0
Andrew Cruz,West Heather,45157,409,42328,22,25.0,False,Male,0.9373519055738867,1963.3478260869565,Poor,1628.0,40K-70K,1
Dr. Jeffrey Lopez,East Anthonyshire,80488,544,33062,24,40.0,False,Male,0.41076930722592186,3219.52,Poor,806.390243902439,70K-100K,1
Joshua Parker,Levytown,147899,337,23235,3,45.0,False,Male,0.15710045368798978,36974.75,Poor,505.10869565217394,130K+,1
Nathan Sullivan,Port Desiree,105574,835,31039,34,90.0,True,Male,0.29400231117509995,3016.4,Excellent,341.0879120879121,100K-130K,1
Kerry Buckley,Lake Donaldtown,54914,782,41525,2,60.0,True,Female,0.7561823942892523,18304.666666666668,Excellent,680.7377049180328,40K-70K,0
Matthew Smith,West Loriville,63386,767,41057,10,70.0,True,Male,0.6477297826018363,5762.363636363636,Excellent,578.2676056338029,40K-70K,1
Amy Roth,South Brookebury,35817,364,14280,27,30.0,False,Female,0.3986933579026719,1279.1785714285713,Poor,460.64516129032256,<40K,0
Russell Rojas,Nguyenshire,122901,440,22075,13,55.0,False,Male,0.17961611378263806,8778.642857142857,Poor,394.19642857142856,100K-130K,1
Leslie Rogers,West Donaldchester,87154,472,46632,23,40.0,False,Female,0.5350528948757372,3631.4166666666665,Poor,1137.3658536585365,70K-100K,0
Jessica Frost,East Craigfurt,30221,461,2024,31,40.0,False,Female,0.06697329671420535,944.40625,Poor,49.36585365853659,<40K,0
Adam Howe,Robertfort,98146,429,14510,9,45.0,False,Male,0.14784097161371834,9814.6,Poor,315.4347826086956,70K-100K,1
Kelly Jenkins,New Heather,135710,484,48002,31,50.0,False,Female,0.35371011716159456,4240.9375,Poor,941.2156862745098,130K+,0
Anita Serrano,Michaeltown,100575,541,13576,7,50.0,False,Female,0.13498384290330598,12571.875,Poor,266.19607843137254,100K-130K,0
Dr. Lisa Huffman,South Kaylee,120027,513,19115,3,45.0,False,Female,0.15925583410399327,30006.75,Poor,415.54347826086956,100K-130K,0
Robert Jennings,Jimenezburgh,124297,344,4540,23,60.0,True,Male,0.036525418956209726,5179.041666666667,Poor,74.42622950819673,100K-130K,1
Jeffrey Cook,Williamston,127248,850,12526,10,100.0,True,Male,0.09843769646674211,11568.0,Excellent,124.01980198019803,100K-130K,1
